loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 38317683,   5,  -3,  12,   0,   0,   0,   4,  25,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 7.10, 628,  -3,  -5,  -4, -58, 483, 2027, 223, 158, 218, 199, 32405, 0, 0, IDLE, 0, 0
  1, 38318667,   0,  -7,   6,   0,   0,   0,  -4,  14,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 7.10, 628,   1,  -2,   3, -131, 377, 2061, 183, 158, 164, 163, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  2, 38319651,  -4, -10,   1,   0,   0,   0, -17,  -2,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 7.10, 628,   4,   0,   4, -185, 191, 2029, 200, 219, 158, 182, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  3, 38320635,  -1,  -9,  -2,   0,   0,   0, -15,  -6,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 7.10, 628,   2,  -1,   5, -140, -39, 1986, 185, 219, 158, 183, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  4, 38321618,   2, -11,  -6,   0,   0,   0,  -3,  -9,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 7.10, 628,  -1,   1,   8, -40, -374, 1999, 158, 206, 168, 194, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  5, 38322602,   2, -16,  -7,   0,   0,   0,   3, -19,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 7.10, 628,   0,   4,   5, -40, -374, 1999, 158, 239, 181, 233, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  6, 38323586,   4, -17,  -5,   0,   0,   0,   6, -25,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 7.10, 628,  -2,   5,  -1,  55, -599, 2053, 158, 246, 187, 257, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  7, 38324582,  12, -10,   0,   0,   0,   0,  20,  -8,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 7.10, 628,  -7,   0,  -6, 106, -565, 2129, 158, 193, 218, 253, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  8, 38325553,  13,  -3,   4,   0,   0,   0,  29,  18,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 7.10, 628,  -8,  -5,  -7, 118, -341, 2167, 194, 158, 265, 245, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  9, 38326537,   6,  -3,   8,   0,   0,   0,  13,  27,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 7.10, 628,  -3,  -5,  -9,  76, -64, 2134, 217, 158, 237, 208, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 10, 38327520,   0,  -7,  10,   0,   0,   0, -10,  14,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 7.10, 628,   1,  -2,  -8, -42, 308, 2027, 196, 165, 158, 163, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 11, 38328504,  -2, -10,   9,   0,   0,   0, -20,  -1,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 7.10, 628,   2,   0,  -4, -152, 635, 1921, 216, 220, 158, 196, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 12, 38329490,  -7, -13,   5,   0,   0,   0, -27, -11,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 1.65, 628,   6,   1,   3, -222, 698, 1919, 229, 265, 158, 211, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 13, 38330472, -12, -15,  -1,   0,   0,   0, -37, -17,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 1.65, 628,  10,   3,   5, -236, 475, 1989, 250, 311, 158, 217, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 14, 38331456,  -9, -15,  -3,   0,   0,   0, -31, -17,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 1.65, 628,   7,   3,   4, -188, 112, 2060, 226, 292, 158, 212, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 15, 38332439,   3, -12,  -5,   0,   0,   0,   0,  -8,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 236.4, 1.65, 628,  -1,   1,   4, -62, -314, 2071, 158, 206, 173, 203, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 16, 38333423,   9, -13,  -5,   0,   0,   0,  29,  -3,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 238.5, 1.65, 628,  -5,   1,   3,  73, -748, 2076, 158, 196, 239, 258, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 17, 38334409,   8, -14,  -4,   0,   0,   0,  31,  -4,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 238.5, 1.65, 628,  -4,   2,   0, 137, -933, 2124, 158, 197, 238, 264, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 18, 38335390,  11,  -8,  -1,   0,   0,   0,  27,   5,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 238.5, 1.65, 628,  -6,  -1,  -4,  98, -680, 2233, 158, 165, 231, 236, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 19, 38336374,  16,   2,   3,   0,   0,   0,  33,  30,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 238.5, 1.65, 628, -10,  -8,  -5,  98, -680, 2233, 224, 158, 311, 257, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 20, 38337358,  15,   6,   4,   0,   0,   0,  31,  48,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 238.5, 1.65, 628,  -9, -11,  -2, -15, -310, 2279, 267, 158, 345, 251, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 21, 38338341,   3,  -1,   3,   0,   0,   0,   2,  30,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 238.5, 1.65, 628,  -1,  -6,  -1, -125,  92, 2232, 218, 158, 223, 173, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 22, 38339327, -12, -13,   3,   0,   0,   0, -41,  -7,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 238.5, 1.65, 628,   9,   2,  -3, -379, 417, 2097, 265, 298, 158, 203, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 23, 38340309, -13, -24,   4,   0,   0,   0, -56, -46,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 238.5, 1.65, 628,  10,   9,  -3, -538, 666, 2024, 296, 419, 158, 296, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 24, 38341293,  -7, -24,   1,   0,   0,   0, -40, -53,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 238.5, 1.65, 628,   6,   9,   5, -484, 622, 2066, 249, 392, 158, 304, 32557, ANGLE_MODE|MAG, 0, IDLE, 1, 1
